SN 98bu                                                                        
File /local1/wpsm/98bu/season2/2006_98bu_update/98bu_ij_27jan99_scaled, June 1s
  0.97149092  1.71137303E-16
  0.972736597  1.8797465E-16
  0.973982275  1.33600045E-16
  0.975227952  1.4342666E-16
  0.976473629  1.49375398E-16
  0.977719307  7.80477069E-17
  0.978964984  9.28274789E-17
  0.980210662  1.1883855E-16
  0.981456339  1.59019663E-16
  0.982702017  1.54328807E-16
  0.983947694  1.0952224E-16
  0.985193372  1.18266208E-16
  0.98643899  1.31881058E-16
  0.987684667  1.48826389E-16
  0.988930345  7.51784556E-17
  0.990176022  1.47698313E-16
  0.9914217  4.78561737E-17
  0.992667377  7.38730719E-17
  0.993913054  7.22736818E-17
  0.995158732  9.37072153E-17
  0.996404409 -4.3926136E-17
  0.997650087  2.38637289E-17
  0.998895764  7.61025553E-17
  1.0001415  5.03410474E-17
  1.00138712  5.76371642E-17
  1.00263286  9.78248608E-17
  1.00387847  5.37237794E-17
  1.00512421  6.33606056E-17
  1.00636983  7.48723723E-17
  1.00761557  1.12603753E-16
  1.00886118  2.87458035E-17
  1.01010692  4.75856128E-17
  1.01135254  6.66190685E-17
  1.01259828  1.06257133E-16
  1.01384389  5.72159308E-17
  1.01508963  8.05831081E-17
  1.01633525  5.54556871E-17
  1.01758087  6.60250006E-17
  1.0188266  9.26514019E-17
  1.02007222  6.07972125E-17
  1.02131796  7.36964722E-17
  1.02256358  7.15140256E-17
  1.02380931  6.94140919E-17
  1.02505493  6.02427501E-17
  1.02630067  6.13915253E-17
  1.02754629  6.37107346E-17
  1.02879202  5.53751065E-17
  1.03003764  5.8814679E-17
  1.03128338  5.38818966E-17
  1.032529  4.32823877E-17
  1.03377473  3.88785641E-17
  1.03502035  3.65948177E-17
  1.03626609  3.28667478E-17
  1.03751171  3.05686415E-17
  1.03875744  3.48470777E-17
  1.04000306  3.15622806E-17
  1.0412488  2.44228368E-17
  1.04249442  2.20015931E-17
  1.04374015  2.11586547E-17
  1.04498577  2.08664912E-17
  1.04623151  2.03255565E-17
  1.04747713  2.30916782E-17
  1.04872286  2.64848608E-17
  1.04996848  3.10136912E-17
  1.05121422  3.31154281E-17
  1.05245984  3.08933959E-17
